"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 25-Jan-2024"
"BAJAJFINSV","1,751.00","1,754.90","1,725.00","1,746.15","1,729.55","-","-16.60","-0.95","7,47,930","129.90","2,029.90","1,419.05","10.49","6.05"
"ADANIPORTS","1,104.15","1,115.00","1,088.25","1,104.00","1,093.50","-","-10.50","-0.95","24,00,140","264.20","1,621.40","995.65","-7.45","-4.55"
"SHRIRAMFIN","531.95","541.80","509.15","529.80","524.65","-","-5.15","-0.97","76,02,501","403.72","730.45","438.60","-81.70","-77.14"
"SBILIFE","1,451.30","1,455.60","1,418.15","1,449.85","1,435.00","-","-14.85","-1.02","15,04,123","216.68","1,936.00","1,307.70","3.85","4.31"
"ULTRACEMCO","11,251.00","11,609.70","11,222.40","11,420.90","11,300.00","-","-120.90","-1.06","5,45,939","621.45","12,145.35","9,250.00","-0.92","13.21"
"HDFCBANK","1,660.00","1,670.30","1,644.50","1,664.90","1,645.00","-","-19.90","-1.20","1,21,18,100","2,009.99","1,880.00","1,363.55","-8.25","14.98"
"HEROMOTOCO","4,105.05","4,125.00","4,041.10","4,100.35","4,049.90","-","-50.45","-1.23","2,16,273","88.17","6,246.25","3,997.50","-4.86","-8.79"
"LT","3,514.50","3,521.10","3,446.05","3,503.25","3,459.80","-","-43.45","-1.24","12,06,454","419.94","3,963.50","3,175.05","-4.99","-3.76"
"BEL","273.95","276.70","268.80","273.95","270.30","-","-3.65","-1.33","1,01,64,897","277.00","340.50","171.75","-7.63","42.41"
"RELIANCE","1,266.00","1,273.00","1,243.50","1,263.65","1,244.45","-","-19.20","-1.52","1,42,35,970","1,782.71","1,608.80","1,201.50","1.93","-53.95"
"ONGC","262.99","265.64","255.75","263.05","258.25","-","-4.80","-1.82","63,06,281","163.53","345.00","223.00","7.35","9.60"
"INDUSINDBK","970.85","973.00","948.25","970.95","950.00","-","-20.95","-2.16","29,38,649","281.84","1,576.35","926.45","1.66","-37.12"
"CIPLA","1,445.25","1,451.00","1,408.00","1,451.15","1,415.00","-","-36.15","-2.49","16,15,412","230.94","1,702.05","1,312.00","-4.36","3.05"
"TATAMOTORS","750.05","754.15","732.20","752.50","733.40","-","-19.10","-2.54","95,13,166","704.64","1,179.00","717.70","-0.27","-9.58"
"APOLLOHOSP","6,915.25","6,915.25","6,728.45","6,920.85","6,742.00","-","-178.85","-2.58","3,17,194","215.44","7,545.35","5,693.20","-6.84","9.34"
"BPCL","274.00","279.40","263.00","271.25","263.25","-","-8.00","-2.95","1,84,80,516","500.05","376.00","231.65","-9.66","-44.39"
"ADANIENT","2,387.75","2,406.00","2,299.40","2,385.00","2,314.05","-","-70.95","-2.97","13,88,583","326.32","3,743.90","2,025.00","-2.42","-19.99"
"M&M","2,875.00","2,896.00","2,790.00","2,886.45","2,799.00","-","-87.45","-3.03","26,65,366","758.32","3,237.05","1,575.00","-4.35","71.29"
"TRENT","5,720.00","5,755.05","5,466.45","5,733.60","5,499.00","-","-234.60","-4.09","11,19,070","627.17","8,345.00","2,955.00","-21.65","69.89"
"DRREDDY","1,229.95","1,252.65","1,203.50","1,289.40","1,226.20","-","-63.20","-4.90","70,82,467","868.02","1,421.49","1,120.00","-9.36","-79.09"
